id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00001033,山楂酸（马斯里酸；2α-羟基齐墩果酸）,73659,0.488,0.3866,0.228,0.165,0.69,B:导师特征,B:HERB库特征,干净,-0.1014
ccMon00001034,罗汉松树脂酚,119205,0.718,0.9453,0.435,0.2245,0.53,B:导师特征,B:HERB库特征,干净,0.2273
ccMon00001035,罗汉松树脂酚苷,11432381,0.88,0.5794,0.3087,0.2241,0.88,A:SMILES,B:HERB库特征,回填脏值,-0.3006
ccMon00001036,苦参碱,165549,0.382,0.9493,0.214,0.7449,0.93,B:导师特征,B:HERB库特征,干净,0.5673
ccMon00001037,美迪紫檀素（黄芪紫檀素）,73067,0.43,0.5651,0.384,0.1347,0.43,A:SMILES,B:HERB库特征,回填脏值,0.1351
ccMon00001038,薄荷醇,19243,0.93,0.1441,0.134,0.0094,0.93,A:SMILES,B:HERB库特征,回填脏值,-0.7859
ccMon00001039,薄荷酮,26447,0.056,0.0733,0.022,0.0267,0.71,B:导师特征,B:HERB库特征,干净,0.0173
ccMon00001043,新乌头碱,441747,0.838,0.9772,0.776,0.8781,0.66,B:导师特征,B:HERB库特征,干净,0.1392
ccMon00001044,花椒毒素（8-甲氧基补骨脂素）,4114,0.68,0.9699,0.236,0.8825,0.49,B:导师特征,B:HERB库特征,干净,0.2899
ccMon00001052,甲基麻黄碱,64782,0.53,0.5631,0.328,0.6221,0.53,A:SMILES,B:HERB库特征,回填脏值,0.0331
ccMon00001048,没食子酸甲酯,7428,0.942,0.4279,0.932,0.1298,0.86,B:导师特征,B:HERB库特征,干净,-0.5141
ccMon00001050,棕榈酸甲酯,8181,0.452,0.4044,0.2264,0.0247,0.53,B:导师特征,B:HERB库特征,干净,-0.0476
ccMon00001058,大叶茜草素,124219,0.365,0.4095,0.34,0.0579,0.75,B:导师特征,B:HERB库特征,干净,0.0445
ccMon00001060,水晶兰苷,73466,0.548,0.9533,0.782,0.85,0.43,B:导师特征,B:HERB库特征,干净,0.4053
ccMon00001061,桑色素,5281670,0.894,0.6278,0.608,0.5947,0.41,B:导师特征,B:HERB库特征,干净,-0.2662
ccMon00001062,吗啡,5288826,0.448,0.8998,0.256,0.6852,0.78,B:导师特征,B:HERB库特征,干净,0.4518
ccMon00001063,莫诺苷,11228693,0.456,0.9441,0.922,0.7539,0.64,B:导师特征,B:HERB库特征,干净,0.4881
ccMon00001065,桑辛素(桑根皮素),5281671,0.5,0.2823,0.15,0.0216,0.81,B:导师特征,B:HERB库特征,干净,-0.2177
ccMon00001068,桑皮苷A,6443484,0.594,0.9199,0.6172,0.7333,0.76,B:导师特征,B:HERB库特征,干净,0.3259
ccMon00001069,麝香酮,10947,0.08,0.6832,0.022,0.1683,0.83,B:导师特征,B:HERB库特征,干净,0.6032
ccMon00001073,月桂烯,31253,0.048,0.764,0.032,0.4969,0.34,B:导师特征,B:HERB库特征,干净,0.716
ccMon00001074,杨梅苷（杨梅素-3-O-β-D-葡萄糖苷）,5281673,0.59,0.9372,0.551,0.7017,0.53,B:导师特征,B:HERB库特征,干净,0.3472
ccMon00001075,肉豆蔻酸,11005,0.556,0.9768,0.328,0.2337,0.66,B:导师特征,B:HERB库特征,干净,0.4208
ccMon00001076,肉豆蔻醚,4276,0.289,0.4176,0.292,0.2246,0.57,B:导师特征,B:HERB库特征,干净,0.1286
ccMon00001077,桃金娘醛,61130,0.134,0.2227,0.036,0.0625,0.55,B:导师特征,B:HERB库特征,干净,0.0887
ccMon00001079,柚皮素,932,0.51,0.7633,0.691,0.4053,0.51,A:SMILES,B:HERB库特征,回填脏值,0.2533
ccMon00001080,柚皮苷,442428,0.65,0.9423,0.573,0.8608,0.63,B:导师特征,B:HERB库特征,干净,0.2923
ccMon00001081,芸香柚皮苷,442431,0.602,0.7603,0.601,0.8242,0.62,B:导师特征,B:HERB库特征,干净,0.1583
ccMon00001087,新补骨脂异黄酮,5320053,0.397,0.963,0.022,0.6537,0.82,B:导师特征,B:HERB库特征,干净,0.566
ccMon00001089,新蛇床酞内酯,5018391,0.9,0.62,0.546,0.5831,0.9,A:SMILES,B:HERB库特征,回填脏值,-0.28
ccMon00001091,新北美圣草苷,114627,0.588,0.9471,0.755,0.8229,0.43,B:导师特征,B:HERB库特征,干净,0.3591
ccMon00001092,新橙皮苷,442439,0.802,0.9633,0.4494,0.5411,0.68,B:导师特征,B:HERB库特征,干净,0.1613
ccMon00001096,新对叶百部碱,5461840,0.72,0.6796,0.2287,0.7936,0.72,A:SMILES,B:HERB库特征,回填脏值,-0.0404
ccMon00001098,橙花醇（香叶醇）,637566,0.38,0.2126,0.252,0.4267,0.38,A:SMILES,B:HERB库特征,回填脏值,-0.1674
ccMon00001099,橙花叔醇,11241545,0.83,0.4503,0.106,0.2292,0.83,A:SMILES,B:HERB库特征,回填脏值,-0.3797
ccMon00001100,橙花醇乙酸酯,1549025,0.2961,0.8439,0.182,0.3674,0.58,B:导师特征,B:HERB库特征,干净,0.5478
ccMon00001105,正己烷,,0.85,0.2834,,0.0289,0.85,A:SMILES,A:SMILES,回填脏值,-0.5666
