id,name,cid,旧prob_cctcm,新prob_cctcm,旧prob_herb,新prob_herb,旧blood(手填),ccTCM模式,HERB模式,旧值判定,cctcm变化
ccMon00001381,橘红素(橘皮素),68077,0.763,0.9462,0.7688,0.7341,0.8,B:导师特征,B:HERB库特征,干净,0.1832
ccMon00001386,牛磺胆酸,6675,0.542,0.7874,0.3547,0.7453,0.56,B:导师特征,B:HERB库特征,干净,0.2454
ccMon00001388,牛磺猪去氧胆酸,,0.66,0.4564,,0.1705,0.66,A:SMILES,A:SMILES,回填脏值,-0.2036
ccMon00001389,花旗松素,53708475,0.44,0.7335,0.2143,0.0722,0.44,A:SMILES,B:HERB库特征,回填脏值,0.2935
ccMon00001390,鸢尾苷（射干苷）,5281810,0.95,0.8756,0.7383,0.7549,0.7,B:导师特征,B:HERB库特征,干净,-0.0744
ccMon00001391,鸢尾黄素（鸢尾苷元）,5281811,0.93,0.9424,0.5303,0.6882,0.8,B:导师特征,B:HERB库特征,干净,0.0124
ccMon00001392,细叶远志皂苷,21588226,0.85,0.8267,0.698,0.4184,0.9,B:导师特征,B:HERB库特征,干净,-0.0233
ccMon00001397,松油醇,17100,0.046,0.1105,0.036,0.0486,0.38,B:导师特征,B:HERB库特征,干净,0.0645
ccMon00001398,萜品油烯,11463,0.029,0.1346,0.082,0.1704,0.75,B:导师特征,B:HERB库特征,干净,0.1056
ccMon00001399,乙酸松油酯,111037,0.1908,0.192,0.118,0.0422,0.89,B:导师特征,B:HERB库特征,干净,0.0012
ccMon00001400,十四酸,11005,0.556,0.9768,0.328,0.2337,0.79,B:导师特征,B:HERB库特征,干净,0.4208
ccMon00001401,川芎嗪,,0.35,0.5182,,0.0291,0.35,A:SMILES,A:SMILES,回填脏值,0.1682
ccMon00001402,粉防己碱,457825,0.58,0.6721,0.174,0.4334,0.58,A:SMILES,B:HERB库特征,回填脏值,0.0921
ccMon00001403,蒂巴因,408120,0.79,0.7379,0.06,0.542,0.79,A:SMILES,B:HERB库特征,回填脏值,-0.0521
ccMon00001405,侧柏酮（宁酮）,261491,0.164,0.104,0.02,0.0357,0.83,B:导师特征,B:HERB库特征,干净,-0.06
ccMon00001406,脱氧胸苷,5789,0.484,0.4201,0.18,0.0664,0.76,B:导师特征,B:HERB库特征,干净,-0.0639
ccMon00001407,胸腺嘧啶,1135,0.496,0.8868,0.116,0.6095,0.53,B:导师特征,B:HERB库特征,干净,0.3908
ccMon00001408,麝香草酚,6989,0.052,0.2239,0.276,0.1494,0.8,B:导师特征,B:HERB库特征,干净,0.1719
ccMon00001411,"银椴苷(山柰酚-3-O-β-D-(6""-p-香豆酰)-吡喃葡萄糖苷)",5320686,0.58,0.4752,0.6578,0.3166,0.87,B:导师特征,B:HERB库特征,干净,-0.1048
ccMon00001412,知母皂苷AIII,10628815,0.41,0.6612,0.4304,0.2871,0.41,A:SMILES,B:HERB库特征,回填脏值,0.2512
ccMon00001423,川楝素,9851101,0.708,0.2573,0.458,0.0655,0.67,B:导师特征,B:HERB库特征,干净,-0.4507
ccMon00001439,苜蓿素,5281702,0.658,0.5285,0.6102,0.1198,0.33,B:导师特征,B:HERB库特征,干净,-0.1295
ccMon00001441,三叶豆紫檀苷（红车轴草苷）,442827,0.624,0.9391,0.59,0.4208,0.86,B:导师特征,B:HERB库特征,干净,0.3151
ccMon00001442,葫芦巴碱,5570,0.802,0.8839,0.654,0.7218,0.4,B:导师特征,B:HERB库特征,干净,0.0819
ccMon00001443,"4,5',8-三甲基补骨脂素",5585,0.456,0.5179,0.088,0.2332,0.82,B:导师特征,B:HERB库特征,干净,0.0619
ccMon00001445,色胺,1150,0.652,0.3767,0.634,0.0514,0.31,B:导师特征,B:HERB库特征,干净,-0.2753
ccMon00001446,色胺酮,73549,0.362,0.8896,0.126,0.6721,0.36,B:导师特征,B:HERB库特征,干净,0.5276
ccMon00001449,对叶百部碱,5461840,0.82,0.6796,0.2287,0.7936,0.82,A:SMILES,B:HERB库特征,回填脏值,-0.1404
ccMon00001453,土克甾酮,,0.42,0.4012,,0.0099,0.42,A:SMILES,A:SMILES,回填脏值,-0.0188
ccMon00001454,姜黄酮,14367556,0.81,0.1635,0.056,0.056,0.81,A:SMILES,B:HERB库特征,回填脏值,-0.6465
ccMon00001456,款冬酮,13919185,0.468,0.2067,0.142,0.0103,0.8,B:导师特征,B:HERB库特征,干净,-0.2613
ccMon00001457,香蒲新苷,44566503,0.386,0.7589,0.1758,0.2783,0.43,B:导师特征,B:HERB库特征,干净,0.3729
ccMon00001458,酪胺,5610,0.626,0.8507,0.48,0.3147,0.38,B:导师特征,B:HERB库特征,干净,0.2247
ccMon00001459,酪醇,10393,0.338,0.8866,0.514,0.2718,0.92,B:导师特征,B:HERB库特征,干净,0.5486
ccMon00001461,伞形花内酯（7-羟基香豆素）,5281426,0.512,0.9554,0.142,0.6867,0.48,B:导师特征,B:HERB库特征,干净,0.4434
ccMon00001462,尿嘧啶,1174,0.424,0.937,0.15,0.2869,0.6,B:导师特征,B:HERB库特征,干净,0.513
ccMon00001463,尿苷,6029,0.346,0.848,0.34,0.6621,0.39,B:导师特征,B:HERB库特征,干净,0.502
ccMon00001464,熊果酸（乌索酸）,64945,0.458,0.8005,0.378,0.5714,0.57,B:导师特征,B:HERB库特征,干净,0.3425
ccMon00001466,香草酸,8468,0.772,0.9658,0.456,0.2755,0.37,B:导师特征,B:HERB库特征,干净,0.1938
ccMon00001467,香荚兰醛,1183,0.71,0.9141,0.394,0.2624,0.81,B:导师特征,B:HERB库特征,干净,0.2041
ccMon00001470,马鞭草苷（山茱萸苷）,,0.78,0.4559,,0.0938,0.78,A:SMILES,A:SMILES,回填脏值,-0.3241
ccMon00001471,马鞭草烯酮,,0.77,0.1423,,0.1125,0.77,A:SMILES,A:SMILES,回填脏值,-0.6277
ccMon00001478,牡荆苷（牡荆素）,133567538,0.46,0.7094,0.6365,0.7362,0.46,A:SMILES,B:HERB库特征,回填脏值,0.2494
ccMon00001479,蟛蜞菊内酯,5281813,0.584,0.477,0.466,0.1766,0.52,B:导师特征,B:HERB库特征,干净,-0.107
ccMon00001481,汉黄芩素,5281703,0.876,0.9455,0.9647,0.7218,0.61,B:导师特征,B:HERB库特征,干净,0.0695
ccMon00001482,汉黄芩苷,3084961,0.954,0.9659,0.8748,0.7767,0.64,B:导师特征,B:HERB库特征,干净,0.0119
ccMon00001483,黄嘌呤,1188,0.47,0.8972,0.306,0.8035,0.91,B:导师特征,B:HERB库特征,干净,0.4272
ccMon00001485,花椒毒酚,65090,0.432,0.9595,0.118,0.6159,0.76,B:导师特征,B:HERB库特征,干净,0.5275
ccMon00001488,芫花酯乙,6440572,0.526,0.2896,0.15,0.0194,0.55,B:导师特征,B:HERB库特征,干净,-0.2364
ccMon00001492,姜烯,92776,0.046,0.1597,0.02,0.0766,0.32,B:导师特征,B:HERB库特征,干净,0.1137
ccMon00001495,地榆皂苷I,71609288,0.688,0.8135,0.5189,0.0946,0.53,B:导师特征,B:HERB库特征,干净,0.1255
ccMon00001496,地榆皂苷 II,71773126,0.56,0.8619,0.1827,0.5407,0.47,B:导师特征,B:HERB库特征,干净,0.3019
