id,name,pubchem_cid,旧blood(手填),旧prob_cctcm(脏),判定
ccMon00000635,松苓新酸,12133286.0,0.37,0.37,回填脏值（非 ccTCM 模型输出）
ccMon00000647,去氧紫草素,,0.46,0.46,回填脏值（非 ccTCM 模型输出）
ccMon00000651,丁香素（双羟香豆素）,,0.51,0.51,回填脏值（非 ccTCM 模型输出）
ccMon00000654,香蜂草苷,102464035.0,0.39,0.39,回填脏值（非 ccTCM 模型输出）
ccMon00000658,二氢丹参酮Ⅰ,,0.46,0.46,回填脏值（非 ccTCM 模型输出）
ccMon00000661,薯蓣皂苷,16072386.0,0.88,0.88,回填脏值（非 ccTCM 模型输出）
ccMon00000677,松果菊苷,11953944.0,0.95,0.95,回填脏值（非 ccTCM 模型输出）
ccMon00000679,刺囊酸,476486.0,0.75,0.75,回填脏值（非 ccTCM 模型输出）
ccMon00000685,鞣花酸,,0.83,0.83,回填脏值（非 ccTCM 模型输出）
ccMon00000688,大黄素-8-O-β-D-葡萄糖苷（蒽苷B）,318730.0,0.4,0.4,回填脏值（非 ccTCM 模型输出）
ccMon00000707,"麦角甾-7,22-二烯-3-酮",129685482.0,0.74,0.74,回填脏值（非 ccTCM 模型输出）
ccMon00000728,吴茱萸碱,151289.0,0.37,0.37,回填脏值（非 ccTCM 模型输出）
ccMon00000729,法卡林二醇,6436239.0,0.88,0.88,回填脏值（非 ccTCM 模型输出）
ccMon00000731,木兰脂素,92966415.0,0.71,0.71,回填脏值（非 ccTCM 模型输出）
ccMon00000735,葑酮,82229.0,0.73,0.73,回填脏值（非 ccTCM 模型输出）
ccMon00000736,阿魏酸,1548883.0,0.8,0.8,回填脏值（非 ccTCM 模型输出）
ccMon00000755,没食子酰基芍药苷,138113865.0,0.51,0.51,回填脏值（非 ccTCM 模型输出）
ccMon00000780,香叶醇,,0.61,0.61,回填脏值（非 ccTCM 模型输出）
ccMon00000783,吉马酮（牻牛儿酮）,6453848.0,0.91,0.91,回填脏值（非 ccTCM 模型输出）
ccMon00000795,人参皂苷Rd,,0.6,0.6,回填脏值（非 ccTCM 模型输出）
ccMon00000803,人参皂苷Rh1,12855917.0,0.3,0.3,回填脏值（非 ccTCM 模型输出）
ccMon00000806,人参皂苷Rk3,,0.76,0.76,回填脏值（非 ccTCM 模型输出）
ccMon00000807,人参皂苷Ro,,0.79,0.79,回填脏值（非 ccTCM 模型输出）
ccMon00000809,萝卜硫苷,,0.34,0.34,回填脏值（非 ccTCM 模型输出）
ccMon00000813,甘氨鹅去氧胆酸,,0.51,0.51,回填脏值（非 ccTCM 模型输出）
ccMon00000814,甘氨胆酸,45109806.0,0.64,0.64,回填脏值（非 ccTCM 模型输出）
ccMon00000817,甘草酸,128229.0,0.39,0.39,回填脏值（非 ccTCM 模型输出）
ccMon00000825,鸟苷,,0.79,0.79,回填脏值（非 ccTCM 模型输出）
ccMon00000834,常春藤皂苷元,40469782.0,0.61,0.61,回填脏值（非 ccTCM 模型输出）
ccMon00000839,十六烷酸,,0.68,0.68,回填脏值（非 ccTCM 模型输出）
ccMon00000853,组胺,,0.76,0.76,回填脏值（非 ccTCM 模型输出）
ccMon00000858,律草烯,23204.0,0.69,0.69,回填脏值（非 ccTCM 模型输出）
ccMon00000860,羟基红花黄色素 A,,0.76,0.76,回填脏值（非 ccTCM 模型输出）
ccMon00000862,猪去氧胆酸,5283822.0,0.32,0.32,回填脏值（非 ccTCM 模型输出）
ccMon00000866,次黄嘌呤,,0.52,0.52,回填脏值（非 ccTCM 模型输出）
ccMon00000873,吲哚乙酸酯,,0.66,0.66,回填脏值（非 ccTCM 模型输出）
ccMon00000877,碘,,0.79,0.79,回填脏值（非 ccTCM 模型输出）
ccMon00000892,异龙脑,6973640.0,0.75,0.75,回填脏值（非 ccTCM 模型输出）
ccMon00000894,异丁酰紫草素,,0.45,0.45,回填脏值（非 ccTCM 模型输出）
ccMon00000910,异甘草苷,10364694.0,0.6,0.6,回填脏值（非 ccTCM 模型输出）
ccMon00000931,异夏佛塔苷,13644663.0,0.78,0.78,回填脏值（非 ccTCM 模型输出）
ccMon00000930,异夏佛托苷,13644663.0,0.7,0.7,回填脏值（非 ccTCM 模型输出）
ccMon00000935,异牡荆苷,51340236.0,0.58,0.58,回填脏值（非 ccTCM 模型输出）
ccMon00000940,japonicone A,,0.6,0.6,回填脏值（非 ccTCM 模型输出）
ccMon00000967,地骨皮乙素,,0.67,0.67,回填脏值（非 ccTCM 模型输出）
ccMon00000976,乳酸,,0.72,0.72,回填脏值（非 ccTCM 模型输出）
ccMon00000988,藁本内酯,,0.63,0.63,回填脏值（非 ccTCM 模型输出）
ccMon00000990,柠檬烯（双戊烯）,439250.0,0.75,0.75,回填脏值（非 ccTCM 模型输出）
ccMon00000992,芳樟醇（沉香醇）,67179.0,0.38,0.38,回填脏值（非 ccTCM 模型输出）
ccMon00000996,钓樟内酯(乌药内酯),,0.91,0.91,回填脏值（非 ccTCM 模型输出）
ccMon00001001,亚油酸,5282457.0,0.59,0.59,回填脏值（非 ccTCM 模型输出）
ccMon00001010,马钱苷酸(落干酸),45358135.0,0.92,0.92,回填脏值（非 ccTCM 模型输出）
ccMon00001011,马钱苷,,0.4,0.4,回填脏值（非 ccTCM 模型输出）
ccMon00001019,木犀草素-7-O-葡萄糖醛酸苷,5280601.0,0.72,0.72,回填脏值（非 ccTCM 模型输出）
ccMon00001028,苹果酸,,0.34,0.34,回填脏值（非 ccTCM 模型输出）
ccMon00001035,罗汉松树脂酚苷,11432381.0,0.88,0.88,回填脏值（非 ccTCM 模型输出）
ccMon00001037,美迪紫檀素（黄芪紫檀素）,73067.0,0.43,0.43,回填脏值（非 ccTCM 模型输出）
ccMon00001038,薄荷醇,19243.0,0.93,0.93,回填脏值（非 ccTCM 模型输出）
ccMon00001052,甲基麻黄碱,64782.0,0.53,0.53,回填脏值（非 ccTCM 模型输出）
ccMon00001079,柚皮素,932.0,0.51,0.51,回填脏值（非 ccTCM 模型输出）
ccMon00001089,新蛇床酞内酯,5018391.0,0.9,0.9,回填脏值（非 ccTCM 模型输出）
ccMon00001096,新对叶百部碱,5461840.0,0.72,0.72,回填脏值（非 ccTCM 模型输出）
ccMon00001098,橙花醇（香叶醇）,637566.0,0.38,0.38,回填脏值（非 ccTCM 模型输出）
ccMon00001099,橙花叔醇,11241545.0,0.83,0.83,回填脏值（非 ccTCM 模型输出）
ccMon00001105,正己烷,,0.85,0.85,回填脏值（非 ccTCM 模型输出）
ccMon00001116,圆柚酮（努特卡酮）,,0.63,0.63,回填脏值（非 ccTCM 模型输出）
ccMon00001119,去甲异波尔定,,0.83,0.83,回填脏值（非 ccTCM 模型输出）
ccMon00001159,oxypaeonidanin,,0.64,0.64,回填脏值（非 ccTCM 模型输出）
ccMon00001161,氧化前胡素,33306.0,0.49,0.49,回填脏值（非 ccTCM 模型输出）
ccMon00001167,芍药苷,70697913.0,0.87,0.87,回填脏值（非 ccTCM 模型输出）
ccMon00001170,巴马汀,,0.83,0.83,回填脏值（非 ccTCM 模型输出）
ccMon00001193,紫苏醛,2724159.0,0.67,0.67,回填脏值（非 ccTCM 模型输出）
ccMon00001195,奈嵌苯酮,,0.94,0.94,回填脏值（非 ccTCM 模型输出）
ccMon00001200,连翘脂素,12314161.0,0.71,0.71,回填脏值（非 ccTCM 模型输出）
ccMon00001207,白皮杉醇,,0.7,0.7,回填脏值（非 ccTCM 模型输出）
ccMon00001215,松脂素,12309636.0,0.5,0.5,回填脏值（非 ccTCM 模型输出）
ccMon00001224,车前胍酸(车前素),,0.91,0.91,回填脏值（非 ccTCM 模型输出）
ccMon00001245,野黑樱苷,91434.0,0.35,0.35,回填脏值（非 ccTCM 模型输出）
ccMon00001259,安石榴苷,,0.54,0.54,回填脏值（非 ccTCM 模型输出）
ccMon00001260,羟基茜草素,,0.34,0.34,回填脏值（非 ccTCM 模型输出）
ccMon00001279,鼠李柠檬素,,0.36,0.36,回填脏值（非 ccTCM 模型输出）
ccMon00001290,芦丁（芸香苷）,5293655.0,0.41,0.41,回填脏值（非 ccTCM 模型输出）
ccMon00001295,柴胡皂苷a,129637783.0,0.69,0.69,回填脏值（非 ccTCM 模型输出）
ccMon00001314,夏佛塔苷,185958.0,0.61,0.61,回填脏值（非 ccTCM 模型输出）
ccMon00001328,野黄芩苷,,0.61,0.61,回填脏值（非 ccTCM 模型输出）
ccMon00001330,克氏千里光碱(氧化苦素碱),,0.74,0.74,回填脏值（非 ccTCM 模型输出）
ccMon00001341,莽草酸,,0.9,0.9,回填脏值（非 ccTCM 模型输出）
ccMon00001342,紫草素,,0.44,0.44,回填脏值（非 ccTCM 模型输出）
ccMon00001353,白芥子苷(黑芥子硫苷酸钾),9692361.0,0.51,0.51,回填脏值（非 ccTCM 模型输出）
ccMon00001364,匙叶桉油醇（斯巴醇）,522266.0,0.32,0.32,回填脏值（非 ccTCM 模型输出）
ccMon00001388,牛磺猪去氧胆酸,,0.66,0.66,回填脏值（非 ccTCM 模型输出）
ccMon00001389,花旗松素,53708475.0,0.44,0.44,回填脏值（非 ccTCM 模型输出）
ccMon00001401,川芎嗪,,0.35,0.35,回填脏值（非 ccTCM 模型输出）
ccMon00001402,粉防己碱,457825.0,0.58,0.58,回填脏值（非 ccTCM 模型输出）
ccMon00001403,蒂巴因,408120.0,0.79,0.79,回填脏值（非 ccTCM 模型输出）
ccMon00001412,知母皂苷AIII,10628815.0,0.41,0.41,回填脏值（非 ccTCM 模型输出）
ccMon00001449,对叶百部碱,5461840.0,0.82,0.82,回填脏值（非 ccTCM 模型输出）
ccMon00001453,土克甾酮,,0.42,0.42,回填脏值（非 ccTCM 模型输出）
ccMon00001454,姜黄酮,14367556.0,0.81,0.81,回填脏值（非 ccTCM 模型输出）
ccMon00001470,马鞭草苷（山茱萸苷）,,0.78,0.78,回填脏值（非 ccTCM 模型输出）
ccMon00001471,马鞭草烯酮,,0.77,0.77,回填脏值（非 ccTCM 模型输出）
ccMon00001478,牡荆苷（牡荆素）,133567538.0,0.46,0.46,回填脏值（非 ccTCM 模型输出）
